TIME

PALMEIRAS|16710
INTERNACIONAL|13310
FLAMENGO|16768
FLUMINENSE|9666
CORINTHIANS|12032
ATHLETICO-PR|12968
ATLÉTICO-MG|11789
AMÉRICA-MG|8404
GOIÁS|7027
SANTOS|12776
BRAGANTINO|6332
BOTAFOGO|9529
SÃO PAULO|11870
CEARÁ|9128
FORTALEZA|8086
CORITIBA|5937
CUIABÁ|5679
AVAÍ|5819
ATLÉTICO-GO|7310
JUVENTUDE|7161
