TIME
PALMEIRAS|62.35
INTERNACIONAL|46.46
FLAMENGO|69.36
FLUMINENSE|51.98
CORINTHIANS|52.46
ATHLETICO-PR|57.87
ATLÉTICO-MG|75.26
AMÉRICA-MG|49.83
GOIÁS|52.96
SANTOS|45.94
BRAGANTINO|59.11
BOTAFOGO|59.65
SÃO PAULO|50.23
CEARÁ|49.17
FORTALEZA|58.40
CORITIBA|54.04
CUIABÁ|46.43
AVAÍ|56.79
ATLÉTICO-GO|53.70
JUVENTUDE|43.01
