TIME
América-MG|45.27|1.04
Athletico-PR|53.15|1.17
Atlético-MG|60.70|1.41
Bahia|50.28|1.29
Botafogo|79.70|1.09
Corinthians|53.70|1.27
Coritiba|48.59|0.94
Cruzeiro|66.09|1.48
Cuiabá|46.08|1.11
Flamengo|66.24|1.51
Fluminense|66.67|1.46
Fortaleza|56.19|1.37
Goiás|47.54|0
Grêmio|59.39|1.49
Internacional|60.22|1.38
Palmeiras|74.07|1.65
Bragantino|41.67|0.90
Santos|43.75|1.05
São Paulo|55.84|1.31
Vasco da Gama|55.35|1.27
